g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8
0.123,1,4,0.02297043800354,0.0433096506980065,0.0010873618648549,-0.0072819574192322,-0.0101395557538555,-0.0694968231001566,-0.2237834917080316,-0.5160908042276626,-inf
0.124,1,4,0.023029088973999,0.0478396217702096,-0.0023797212031926,-0.007120062864772,-0.0088135732209292,-0.075374153120788,-0.2060042711592886,-0.4807638990255679,-inf
0.125,1,4,0.0421650409698486,0.0489488004660118,-0.0015320311305014,-0.0058803828091499,-0.010061625129664,-0.0766278249852547,-0.1973608445046793,-0.5056655500042829,-inf
0.126,1,4,0.0228428840637207,0.0524867846382813,-0.0020087395400953,-0.0068628547316011,-0.0097262972159457,-0.0746453806572604,-0.191043422494312,-0.4722477259664847,-inf
0.127,1,4,0.0231838226318359,0.0477378888985703,-0.0008714314441688,-0.007363306441064,-0.0117878049429089,-0.0783696399471034,-0.2219515401222411,-0.5647380444521207,-inf
0.128,1,4,0.0227632522583007,0.0510411547186194,-0.0002875178986702,-0.0062250638308906,-0.0101457363869527,-0.0886243012242662,-0.2205259604879412,-0.5423571719379996,-inf
0.129,1,4,0.0228128433227539,0.0485215185952955,-0.0007049485581549,-0.0065313916966582,-0.0100245889854533,-0.0749605582635823,-0.2110782819339129,-0.5675616534270339,-inf
0.13,1,4,0.0233287811279296,0.0460141139418166,-0.0011443824041898,-0.0080061422767652,-0.0133296253455478,-0.0731111221222485,-0.2186585946161774,-0.5730044100673121,-inf
0.131,1,4,0.0415773391723632,0.0576017905043166,-0.0012351961368621,-0.0068973402639013,-0.0088390519067112,-0.0813428523846488,-0.2035842641827357,-0.5381769902947826,-inf
0.132,1,4,0.0235378742218017,0.0475723085822481,-0.0013015771133177,-0.0075505880895083,-0.0103871944956955,-0.0757725423490363,-0.2080211800639553,-0.5809625773033777,-inf
0.133,1,4,0.0229592323303222,0.0434119813466939,-0.0015138683621442,-0.0076855502543179,-0.0117577413550922,-0.0792696985705536,-0.2362865262945327,-0.5387668795515168,-inf
0.134,1,4,0.0228574275970459,0.0528397326593197,-0.001489218680447,-0.0054006810611151,-0.0112685864916196,-0.0775781788454199,-0.2460651564694275,-0.6442803434805251,-inf
0.135,1,4,0.0230143070220947,0.0546869765009117,-0.0019110963272958,-0.0071109321634856,-0.0110175563756304,-0.0715528284230158,-0.2190703630906204,-0.6049070578057569,-inf
0.136,1,4,0.0229473114013671,0.0488285170403294,-0.001419407856482,-0.0067558417896819,-0.0129623825677778,-0.0777294828171358,-0.2299728517994609,-0.6538143218671357,-inf
0.137,1,4,0.0228960514068603,0.0494582841553229,-0.0014592181199326,-0.0070940530700606,-0.0126108264684947,-0.0805785664444898,-0.240226008776847,-0.6730166141598396,-inf
0.138,1,4,0.0227699279785156,0.0484639866179274,-5.57718746922502e-05,-0.0066333615628226,-0.0155925682358045,-0.0752452692787404,-0.2315309429853225,-0.650869895185578,-inf
0.139,1,4,0.0229272842407226,0.0440930128385049,-0.0020019595399841,-0.006245790056146,-0.0132403364279929,-0.0785176531736038,-0.2409081764829306,-0.5951648333519874,-inf
0.14,1,4,0.0421841144561767,0.0514259221915733,-0.001490009772805,-0.0068002695279741,-0.013587958647114,-0.0751499064671563,-0.2342600704716665,-0.651497182664268,-inf
0.141,1,4,0.023181676864624,0.0510069021169138,0.0005248595102492,-0.007415506958552,-0.0090832364892783,-0.0832549884950893,-0.2330728466717356,-0.691869994709189,-inf
0.142,1,4,0.0232241153717041,0.0474884211916252,-0.0025577284726547,-0.0065609581434515,-0.0141821430200908,-0.0805120235226957,-0.2214206451356711,-0.5194470110558612,-inf
0.143,1,4,0.0226836204528808,0.054246869265628,-0.0015165251091989,-0.0088270526246453,-0.0109385742796692,-0.0764758261684405,-0.2300598897935009,-0.641062886300251,-inf
0.144,1,4,0.0233237743377685,0.0457772767347171,-0.001392716632118,-0.0054080261427205,-0.0099134834471843,-0.082806274144605,-0.2418066044197169,-0.6268590106407985,-inf
0.145,1,4,0.023165225982666,0.0506430175177099,-0.0007735812316688,-0.0065578338000437,-0.0107607273884191,-0.083284098971193,-0.248425040726109,-0.5884695738367074,-inf
0.146,1,4,0.0228312015533447,0.0514938778664442,-0.0024586999863494,-0.0065755208398905,-0.0124021694401291,-0.0832852491385268,-0.2294749165564986,-0.6269384937429018,-inf
0.147,1,4,0.0231080055236816,0.0495354151396434,-0.0021637975231041,-0.0081757321449884,-0.0113667924006064,-0.0971200282116013,-0.2548663780266975,-0.6000447785421857,-inf
0.148,1,4,0.0411834716796875,0.04661485758943,-0.0014125861861328,-0.0075124523568734,-0.013425260597704,-0.0796199509675462,-0.2334338260596958,-0.6198100499436683,-inf
0.149,1,4,0.022780418395996,0.052234842889007,-0.0012992070244538,-0.0059881616313518,-0.013456415372821,-0.0819828682316202,-0.2407765881764698,-0.6520400608919618,-inf
0.15,1,4,0.0229372978210449,0.0460326298460558,-0.0003354022056215,-0.0069251340094221,-0.0109278277126608,-0.0895676881070251,-0.2586353221770148,-0.6048184056642405,-inf
0.151,1,4,0.0229301452636718,0.0543646636895067,-0.0011058133900368,-0.006120695050791,-0.0114243100128267,-0.08059496543888,-0.2358104933181661,-0.6513470254847773,-inf
0.152,1,4,0.0234227180480957,0.0524164936255178,-0.0006705273451527,-0.0069489959947423,-0.0134794764330467,-0.0809894284442902,-0.2536767775471866,-0.7384705527459537,-inf
