g_value,n,lambda_1,current_zeta_value,runtime
0.0754,2,0.1088115557046343,8,0.8105020523071289
0.0756,2,0.107123148062702,8,0.8115224838256836
0.0758,2,0.1085438856163117,8,0.8110144138336182
0.076,2,0.1104826059546466,8,0.8162984848022461
0.0762,2,0.1081091728567881,8,0.8143908977508545
0.0764,2,0.1112778887175499,8,0.8087544441223145
0.0766,2,0.1087695450629472,8,0.8159995079040527
0.0768,2,0.1108534082674015,8,0.8161914348602295
0.077,2,0.1097034534703886,8,0.813570499420166
0.0772,2,0.112547366155379,8,0.8159732818603516
0.0774,2,0.112084336014916,8,0.8316993713378906
0.0776,2,0.1110977434108792,8,0.8178629875183105
0.0778,2,0.1123200142732098,8,0.8125102519989014
0.078,2,0.1131915102097359,8,0.8106846809387207
0.0782,2,0.1120707630638671,8,0.8088457584381104
0.0784,2,0.1142599690406394,8,0.8103079795837402
0.0786,2,0.1147557032210996,8,0.8105792999267578
0.0788,2,0.1150882674751145,8,0.8076069355010986
0.079,2,0.1155164656244344,8,0.8085224628448486
0.0792,2,0.1167619173715354,8,0.8080334663391113
0.0794,2,0.1170399375080343,8,0.8084969520568848
0.0796,2,0.1169590758037208,8,0.8184616565704346
0.0798,2,0.1165112290794865,8,0.8226728439331055
0.08,2,0.118765608067106,8,0.8111855983734131
0.0802,2,0.1196200660603555,8,0.8089015483856201
0.0804,2,0.1169723159746021,8,0.8112645149230957
0.0806,2,0.1185072628949854,8,0.8230493068695068
0.0808,2,0.1201409263559283,8,0.8156003952026367
0.081,2,0.1194325641437668,8,0.8133392333984375
0.0812,2,0.1206534180759299,8,0.8161747455596924
0.0814,2,0.1203780259548291,8,0.8294477462768555
0.0816,2,0.1224629589619423,8,0.809319019317627
0.0818,2,0.1225730276339044,8,0.8184652328491211
0.082,2,0.1214061402389257,8,0.821394681930542
0.0822,2,0.1198977587652452,8,0.8051841259002686
0.0824,2,0.1231992598933063,8,0.8153259754180908
0.0826,2,0.1231518360170987,8,1.3278584480285645
0.0828,2,0.1236939240185319,8,1.3205463886260986
0.083,2,0.1233271317761151,8,1.324595928192139
0.0832,2,0.1243535563220065,8,1.3163495063781738
0.0834,2,0.1250354171129951,8,1.325397491455078
0.0836,2,0.1244542619719703,8,1.3097615242004397
0.0838,2,0.124807556379083,8,1.2865803241729736
0.084,2,0.1248355656957804,8,0.8118875026702881
0.0842,2,0.1256808887624903,8,0.8218050003051758
0.0844,2,0.1259686857465902,8,0.8115296363830566
0.0846,2,0.127928303170966,8,0.8265259265899658
0.0848,2,0.1278660250352481,8,0.8104031085968018
0.085,2,0.128395315528409,8,0.821220874786377
0.0852,2,0.1289593024841154,8,0.8105452060699463
0.0854,2,0.1274271921700215,8,0.8120119571685791
0.0856,2,0.1298125372556528,8,0.8105175495147705
0.0858,2,0.1286514710337502,8,0.8124442100524902
0.086,2,0.1292466126882884,8,0.8197410106658936
0.0862,2,0.1306038574773268,8,0.824650764465332
0.0864,2,0.1308376822750099,8,0.8248333930969238
0.0866,2,0.1308619638411763,8,0.8108978271484375
0.0868,2,0.129413431833153,8,0.8311471939086914
0.087,2,0.1306001380468023,8,0.8297927379608154
0.0872,2,0.1326794834018995,8,0.830209493637085
0.0874,2,0.1319844586145129,8,0.8202359676361084
0.0876,2,0.1338057315391968,8,0.8182785511016846
0.0878,2,0.1341210462630717,8,0.810232400894165
0.088,2,0.1335252624211603,8,0.8123531341552734
0.0882,2,0.1331658468808893,8,0.8234148025512695
0.0884,2,0.1337892327220649,8,0.8185815811157227
0.0886,2,0.1338298799927316,8,0.8116602897644043
0.0888,2,0.134607657633617,8,0.8185703754425049
0.089,2,0.1353382576716985,8,0.8083665370941162
0.0892,2,0.134155356093386,8,0.8197038173675537
0.0894,2,0.1328430525195992,8,0.8355352878570557
0.0896,2,0.1339317294388156,8,0.8191821575164795
0.0898,2,0.1367778608034318,8,0.8275332450866699
0.09,2,0.1365861682662918,8,0.864246129989624
0.0902,2,0.1359956957984016,8,0.8136441707611084
0.0904,2,0.1374491543896188,8,0.8106095790863037
0.0906,2,0.1388414410029703,8,0.8224344253540039
0.0908,2,0.1383587286250989,8,0.8147332668304443
0.091,2,0.1391912064056717,8,0.8345568180084229
0.0912,2,0.1380023616950162,8,0.8139438629150391
0.0914,2,0.1391185515610472,8,0.8095474243164062
0.0916,2,0.1402828045731232,8,0.8048515319824219
0.0918,2,0.1404677505319864,8,0.8081939220428467
0.092,2,0.1405815731895076,8,0.811640739440918
0.0922,2,0.1409514277920938,8,0.8157076835632324
0.0924,2,0.1412240344683306,8,0.809903621673584
0.0926,2,0.1422012530351402,8,0.8140964508056641
0.0928,2,0.1433390834546894,8,0.8236677646636963
0.093,2,0.1428608966633021,8,0.8289179801940918
0.0932,2,0.1408493625364487,8,0.8095006942749023
0.0934,2,0.1436032998306662,8,0.8140766620635986
0.0936,2,0.1425858905702954,8,0.8209521770477295
0.0938,2,0.1440336307338422,8,0.8142693042755127
0.094,2,0.1436092865931055,8,0.828575849533081
0.0942,2,0.1439038307816209,8,0.8191921710968018
0.0944,2,0.1433478970191237,8,0.8142080307006836
0.0946,2,0.1434820148538018,8,0.8208193778991699
0.0948,2,0.1445798984614989,8,0.806398868560791
0.095,2,0.1458585090358345,8,0.8184280395507812
0.0952,2,0.1454708094100049,8,0.8180487155914307
0.0954,2,0.145951925080441,8,0.85797119140625
0.0956,2,0.1467439614283458,8,0.8181495666503906
0.0958,2,0.1469747604330301,8,0.8110251426696777
0.096,2,0.1483014145341652,8,0.8121240139007568
0.0962,2,0.1479082087435876,8,0.8104476928710938
0.0964,2,0.1473001371450108,8,0.8210704326629639
0.0966,2,0.1484634783740401,8,0.8162455558776855
0.0968,2,0.1493869019540551,8,0.840660810470581
0.097,2,0.1502044252350048,8,0.8068718910217285
0.0972,2,0.1488982718175568,8,0.8105905055999756
0.0974,2,0.1488308439328404,8,0.8167967796325684
0.0976,2,0.1508331848818936,8,0.8086013793945312
0.0978,2,0.1504339594341965,8,0.8125429153442383
0.098,2,0.1501700345539322,8,0.8217208385467529
0.0982,2,0.1497069120548723,8,0.8113298416137695
0.0984,2,0.1506224090387729,8,0.8191206455230713
0.0986,2,0.1513592632740503,8,0.8184738159179688
0.0988,2,0.1507101129410953,8,0.8128352165222168
0.099,2,0.1515269875422743,8,0.8199167251586914
0.0992,2,0.1512908398402295,8,0.8095788955688477
0.0994,2,0.151488637800931,8,0.8198714256286621
0.0996,2,0.1530967276784158,8,0.8087224960327148
0.0998,2,0.154017549453064,8,0.8117458820343018
0.1,2,0.1517841919483891,8,0.8124983310699463
0.1002,2,0.1517952297728289,8,0.8276193141937256
0.1004,2,0.1544557700297405,8,0.84010910987854
0.1006,2,0.1528758767415692,8,0.8137433528900146
0.1008,2,0.1543320268117765,8,0.8228633403778076
0.101,2,0.1535374378400806,8,0.813457727432251
0.1012,2,0.1550721529560814,8,0.8109171390533447
0.1014,2,0.1550944652964302,8,0.820141077041626
0.1016,2,0.1552285870015349,8,0.8201720714569092
0.1018,2,0.1554108397127307,8,0.8212165832519531
0.102,2,0.1564937714361653,8,0.8257162570953369
0.1022,2,0.1549351958235839,8,0.8085184097290039
0.1024,2,0.1562167902792594,8,0.8684566020965576
0.1026,2,0.1579819175804053,8,0.8130862712860107
0.1028,2,0.1577903322447277,8,0.8194112777709961
0.103,2,0.1581381123064559,8,0.812387228012085
